energy;Permutation_importance
3.16;0.00010671101629272664
12.1;0.00010579184877789151
7.64;0.00010425167647990806
10.2;0.00010166443741476292
12.42;0.000100969371907438
11.66;0.0001002419542353375
12.7;0.00010007709586893951
10.32;9.95739335527202e-05
8.84;9.94266904755998e-05
4.74;9.921689243344505e-05
11.36;9.5614134720396e-05
11.98;9.258543335667106e-05
11.58;9.213101864832655e-05
12.38;9.197718906918738e-05
11.52;8.452402859290649e-05
8.32;8.446112956104785e-05
1.36;7.577760663801128e-05
11.7;6.500380855581593e-05
11.96;6.227872821530354e-05
