energy;Reg_coef;Abs_Reg_coef;Zone
6.94;-0.024599825263699356;0.024599825263699356;Fe
6.14;0.024513689212355843;0.024513689212355843;Fe
2.74;0.024407108680940034;0.024407108680940034;Cl
7.86;-0.024337566476111766;0.024337566476111766;Cu
14.82;-0.023949203807573;0.023949203807573;background3
21.3;-0.02394840362401407;0.02394840362401407;Rh kb Compton
13.92;-0.023947674720626987;0.023947674720626987;background3
7.42;0.02385451037712286;0.02385451037712286;Cu
22.18;-0.02384098131624232;0.02384098131624232;Rh kb Compton
2.24;0.023831450210922072;0.023831450210922072;S
19.02;-0.023804681671467286;0.023804681671467286;Rh ka Compton
9.14;0.023776509167321675;0.023776509167321675;background2
4.4;0.023733763461689473;0.023733763461689473;background1
10.28;-0.023728678557144566;0.023728678557144566;background2
2.68;0.023686031629862502;0.023686031629862502;Cl
14.28;0.023596325612504722;0.023596325612504722;background3
20.16;-0.023588220236141995;0.023588220236141995;Rh ka Rayleigh
12.68;-0.023411566255603138;0.023411566255603138;Rb ka + Br kb
14.56;-0.023400792852972675;0.023400792852972675;background3
14.04;-0.023283152753537036;0.023283152753537036;background3
8.66;-0.02324569625259731;0.02324569625259731;Zn
16.48;-0.023212272912447734;0.023212272912447734;background3
10.32;0.023072494988183243;0.023072494988183243;background2
21.6;-0.023056701680055604;0.023056701680055604;Rh kb Compton
8.3;0.023005616540633128;0.023005616540633128;Cu
7;0.02290985461491963;0.02290985461491963;Fe
21.12;-0.022883782175663895;0.022883782175663895;Rh kb Compton
20.28;-0.022788246766828564;0.022788246766828564;Rh ka Rayleigh
18.46;-0.022708135191747875;0.022708135191747875;Rh ka Compton
20.74;-0.022672000956107167;0.022672000956107167;Rh ka Rayleigh
10.7;0.022610371890497666;0.022610371890497666;background2
8.96;-0.022583280055755682;0.022583280055755682;background2
18.66;-0.022551997215689065;0.022551997215689065;Rh ka Compton
8.54;-0.022503687455659404;0.022503687455659404;Zn
21.08;0.022358459930633713;0.022358459930633713;Rh kb Compton
20.64;-0.022262155572386217;0.022262155572386217;Rh ka Rayleigh
9.28;-0.0222495969221023;0.0222495969221023;background2
9.32;-0.02219354848849508;0.02219354848849508;background2
13.18;0.022181514789345755;0.022181514789345755;Rb ka + Br kb
2.22;0.021923968737710367;0.021923968737710367;S
6.72;-0.02182026746344939;0.02182026746344939;Fe
15.66;-0.021783527575185885;0.021783527575185885;background3
10.06;-0.021759514880412077;0.021759514880412077;background2
5.78;0.02175550905908097;0.02175550905908097;Mn
12.62;-0.021726827856018857;0.021726827856018857;Rb ka + Br kb
4.18;-0.021646813823844573;0.021646813823844573;background1
4.94;0.021630273786147826;0.021630273786147826;background1
13.14;0.021491895010796642;0.021491895010796642;Rb ka + Br kb
9.78;0.021491247043084784;0.021491247043084784;background2
20.14;-0.021488650612945304;0.021488650612945304;Rh ka Rayleigh
14.48;0.021482641605677793;0.021482641605677793;background3
5.62;-0.02144941909255356;0.02144941909255356;background1
16.78;-0.02132287241190982;0.02132287241190982;background3
15.94;-0.021306128192852495;0.021306128192852495;background3
18.34;-0.021273488247827828;0.021273488247827828;Rh ka Compton
14.94;0.02125458972870971;0.02125458972870971;background3
5.48;-0.02122695210578025;0.02122695210578025;background1
16.8;-0.021225989886083152;0.021225989886083152;background3
13.76;-0.02118308974218736;0.02118308974218736;Rb ka + Br kb
11.78;-0.021131909533390354;0.021131909533390354;Br ka
8.72;-0.021038235895162592;0.021038235895162592;Zn
15.18;-0.021025457001111417;0.021025457001111417;background3
15.46;-0.020973487624061645;0.020973487624061645;background3
5.42;0.020950412986668266;0.020950412986668266;background1
10.98;0.020865784104346856;0.020865784104346856;background2
15.34;-0.0208155163794472;0.0208155163794472;background3
21.56;-0.020771092770231904;0.020771092770231904;Rh kb Compton
11.84;0.020723909738333785;0.020723909738333785;Br ka
15.82;-0.020720263088462414;0.020720263088462414;background3
5.56;0.02068193488426592;0.02068193488426592;background1
5.04;0.020677989663001117;0.020677989663001117;background1
7.5;-0.020653528413316854;0.020653528413316854;Cu
20.92;-0.020651950114385375;0.020651950114385375;Rh kb Compton
8.5;-0.020572147382366433;0.020572147382366433;Zn
15;-0.020382781116558318;0.020382781116558318;background3
12.22;-0.020242842205317035;0.020242842205317035;Br ka
12.72;-0.0202158598425053;0.0202158598425053;Rb ka + Br kb
19.68;-0.02021126833108599;0.02021126833108599;Rh ka Compton
7.28;0.02015496419780343;0.02015496419780343;Fe
